T07,"Enrolment in primary, secondary and tertiary education levels",,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
40,Austria,2017,"Gross enrollment ratio - Secondary (male)",104.0974,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
40,Austria,2017,"Gross enrollment ratio - Secondary (female)",99.4723,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
40,Austria,2017,"Students enrolled in tertiary education (thousands)",430.3704,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
40,Austria,2017,"Gross enrollment ratio - Tertiary (male)",79.3647,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
40,Austria,2017,"Gross enrollment ratio - Tertiary (female)",93.6227,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
31,Azerbaijan,2005,"Students enrolled in primary education (thousands)",568.097,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
31,Azerbaijan,2005,"Gross enrollement ratio - Primary (male)",98.1721,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
31,Azerbaijan,2005,"Gross enrollment ratio - Primary (female)",92.7838,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
31,Azerbaijan,2010,"Students enrolled in primary education (thousands)",481.551,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
31,Azerbaijan,2010,"Gross enrollement ratio - Primary (male)",94.223,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
31,Azerbaijan,2010,"Gross enrollment ratio - Primary (female)",93.2366,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
31,Azerbaijan,2010,"Students enrolled in tertiary education (thousands)",180.727,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
31,Azerbaijan,2010,"Gross enrollment ratio - Tertiary (male)",19.3623,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
31,Azerbaijan,2010,"Gross enrollment ratio - Tertiary (female)",19.1564,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
31,Azerbaijan,2014,"Students enrolled in primary education (thousands)",517.708,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
31,Azerbaijan,2014,"Gross enrollement ratio - Primary (male)",106.5559,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
31,Azerbaijan,2014,"Gross enrollment ratio - Primary (female)",105.493,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
31,Azerbaijan,2014,"Students enrolled in tertiary education (thousands)",195.401,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
31,Azerbaijan,2014,"Gross enrollment ratio - Tertiary (male)",21.6764,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
31,Azerbaijan,2014,"Gross enrollment ratio - Tertiary (female)",24.7532,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
31,Azerbaijan,2015,"Students enrolled in primary education (thousands)",551.118,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
31,Azerbaijan,2015,"Gross enrollement ratio - Primary (male)",107.4434,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
31,Azerbaijan,2015,"Gross enrollment ratio - Primary (female)",105.636,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
31,Azerbaijan,2015,"Students enrolled in tertiary education (thousands)",204.152,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
31,Azerbaijan,2015,"Gross enrollment ratio - Tertiary (male)",23.6426,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
31,Azerbaijan,2015,"Gross enrollment ratio - Tertiary (female)",27.4808,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
31,Azerbaijan,2017,"Students enrolled in primary education (thousands)",607.391,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
31,Azerbaijan,2017,"Gross enrollement ratio - Primary (male)",102.52,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
31,Azerbaijan,2017,"Gross enrollment ratio - Primary (female)",104.1937,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
31,Azerbaijan,2017,"Students enrolled in tertiary education (thousands)",206.196,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
31,Azerbaijan,2017,"Gross enrollment ratio - Tertiary (male)",25.2702,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
31,Azerbaijan,2017,"Gross enrollment ratio - Tertiary (female)",29.0339,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
44,Bahamas,2005,"Students enrolled in primary education (thousands)",37.05,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
44,Bahamas,2005,"Gross enrollement ratio - Primary (male)",109.915,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
44,Bahamas,2005,"Gross enrollment ratio - Primary (female)",108.4004,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
44,Bahamas,2005,"Students enrolled in secondary education (thousands)",32.089,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
44,Bahamas,2005,"Gross enrollment ratio - Secondary (male)",89.4474,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
44,Bahamas,2005,"Gross enrollment ratio - Secondary (female)",89.131,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
44,Bahamas,2010,"Students enrolled in primary education (thousands)",33.977,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
44,Bahamas,2010,"Gross enrollement ratio - Primary (male)",106.8983,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
44,Bahamas,2010,"Gross enrollment ratio - Primary (female)",108.9627,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
44,Bahamas,2010,"Students enrolled in secondary education (thousands)",34.406,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
44,Bahamas,2010,"Gross enrollment ratio - Secondary (male)",90.2384,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
44,Bahamas,2010,"Gross enrollment ratio - Secondary (female)",95.0799,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
44,Bahamas,2016,"Students enrolled in primary education (thousands)",30.655,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
44,Bahamas,2016,"Gross enrollement ratio - Primary (male)",92.891,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
44,Bahamas,2016,"Gross enrollment ratio - Primary (female)",97.9119,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
44,Bahamas,2016,"Students enrolled in secondary education (thousands)",28.384,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
44,Bahamas,2016,"Gross enrollment ratio - Secondary (male)",87.8536,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
44,Bahamas,2016,"Gross enrollment ratio - Secondary (female)",93.0708,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
48,Bahrain,2005,"Students enrolled in primary education (thousands)",83.299,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
48,Bahrain,2005,"Gross enrollement ratio - Primary (male)",94.1298,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
48,Bahrain,2005,"Gross enrollment ratio - Primary (female)",97.5083,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
48,Bahrain,2005,"Students enrolled in secondary education (thousands)",71.645,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
48,Bahrain,2005,"Gross enrollment ratio - Secondary (male)",91.4625,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
48,Bahrain,2005,"Gross enrollment ratio - Secondary (female)",101.4538,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
48,Bahrain,2005,"Students enrolled in tertiary education (thousands)",18.841,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
48,Bahrain,2005,"Gross enrollment ratio - Tertiary (male)",13.0099,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
48,Bahrain,2005,"Gross enrollment ratio - Tertiary (female)",39.8646,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
48,Bahrain,2006,"Students enrolled in primary education (thousands)",89.721,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
48,Bahrain,2006,"Gross enrollement ratio - Primary (male)",96.072,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
48,Bahrain,2006,"Gross enrollment ratio - Primary (female)",101.0063,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
48,Bahrain,2006,"Students enrolled in secondary education (thousands)",73.767,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
48,Bahrain,2006,"Gross enrollment ratio - Secondary (male)",92.13,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
48,Bahrain,2006,"Gross enrollment ratio - Secondary (female)",101.1398,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
48,Bahrain,2006,"Students enrolled in tertiary education (thousands)",18.403,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
48,Bahrain,2006,"Gross enrollment ratio - Tertiary (male)",12.1577,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
48,Bahrain,2006,"Gross enrollment ratio - Tertiary (female)",38.3219,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
48,Bahrain,2010,"Students enrolled in secondary education (thousands)",79.919,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
48,Bahrain,2010,"Gross enrollment ratio - Secondary (male)",92.2414,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
48,Bahrain,2010,"Gross enrollment ratio - Secondary (female)",93.4967,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
48,Bahrain,2014,"Students enrolled in primary education (thousands)",103.806,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
48,Bahrain,2014,"Gross enrollement ratio - Primary (male)",98.9447,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
48,Bahrain,2014,"Gross enrollment ratio - Primary (female)",100.456,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
48,Bahrain,2014,"Students enrolled in secondary education (thousands)",90.092,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
48,Bahrain,2014,"Gross enrollment ratio - Secondary (male)",98.4779,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
48,Bahrain,2014,"Gross enrollment ratio - Secondary (female)",99.3287,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
48,Bahrain,2014,"Students enrolled in tertiary education (thousands)",38.113,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
48,Bahrain,2014,"Gross enrollment ratio - Tertiary (male)",29.0396,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
48,Bahrain,2014,"Gross enrollment ratio - Tertiary (female)",57.6057,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
48,Bahrain,2015,"Students enrolled in primary education (thousands)",108.154,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
48,Bahrain,2015,"Gross enrollement ratio - Primary (male)",100.5623,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
48,Bahrain,2015,"Gross enrollment ratio - Primary (female)",101.7989,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
48,Bahrain,2015,"Students enrolled in secondary education (thousands)",92.454,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
48,Bahrain,2015,"Gross enrollment ratio - Secondary (male)",102.3582,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
48,Bahrain,2015,"Gross enrollment ratio - Secondary (female)",101.8874,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
48,Bahrain,2015,"Students enrolled in tertiary education (thousands)",38.901,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
48,Bahrain,2015,"Gross enrollment ratio - Tertiary (male)",30.9047,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
48,Bahrain,2015,"Gross enrollment ratio - Tertiary (female)",59.3548,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
48,Bahrain,2017,"Students enrolled in primary education (thousands)",113.47,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
48,Bahrain,2017,"Gross enrollement ratio - Primary (male)",100.8432,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
48,Bahrain,2017,"Gross enrollment ratio - Primary (female)",101.0799,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
48,Bahrain,2017,"Students enrolled in secondary education (thousands)",97.733,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
48,Bahrain,2017,"Gross enrollment ratio - Secondary (male)",102.3346,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
48,Bahrain,2017,"Gross enrollment ratio - Secondary (female)",103.3477,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
48,Bahrain,2017,"Students enrolled in tertiary education (thousands)",42.717,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
48,Bahrain,2017,"Gross enrollment ratio - Tertiary (male)",32.3478,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
48,Bahrain,2017,"Gross enrollment ratio - Tertiary (female)",63.0909,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
50,Bangladesh,2005,"Students enrolled in primary education (thousands)",16219.478,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
50,Bangladesh,2005,"Gross enrollement ratio - Primary (male)",96.2781,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
50,Bangladesh,2005,"Gross enrollment ratio - Primary (female)",100.7542,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
50,Bangladesh,2005,"Students enrolled in secondary education (thousands)",10109.395,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
50,Bangladesh,2005,"Gross enrollment ratio - Secondary (male)",44.0017,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
50,Bangladesh,2005,"Gross enrollment ratio - Secondary (female)",46.8917,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
50,Bangladesh,2005,"Students enrolled in tertiary education (thousands)",911.6,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
50,Bangladesh,2005,"Gross enrollment ratio - Tertiary (male)",8.1191,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
50,Bangladesh,2005,"Gross enrollment ratio - Tertiary (female)",4.2337,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
50,Bangladesh,2009,"Students enrolled in primary education (thousands)",16539.389,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
50,Bangladesh,2009,"Gross enrollement ratio - Primary (male)",97.1473,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
50,Bangladesh,2009,"Gross enrollment ratio - Primary (female)",101.8602,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
50,Bangladesh,2009,"Students enrolled in secondary education (thousands)",10907.065,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
50,Bangladesh,2009,"Gross enrollment ratio - Secondary (male)",46.6468,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
50,Bangladesh,2009,"Gross enrollment ratio - Secondary (female)",50.3192,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
50,Bangladesh,2009,"Students enrolled in tertiary education (thousands)",1582.175,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
50,Bangladesh,2009,"Gross enrollment ratio - Tertiary (male)",13.0847,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
50,Bangladesh,2009,"Gross enrollment ratio - Tertiary (female)",7.8354,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
50,Bangladesh,2010,"Students enrolled in primary education (thousands)",16987.106,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
50,Bangladesh,2010,"Gross enrollement ratio - Primary (male)",99.2395,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
50,Bangladesh,2010,"Gross enrollment ratio - Primary (female)",105.4968,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
50,Bangladesh,2010,"Students enrolled in secondary education (thousands)",11334.055,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
50,Bangladesh,2010,"Gross enrollment ratio - Secondary (male)",47.185,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
50,Bangladesh,2010,"Gross enrollment ratio - Secondary (female)",52.9875,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
50,Bangladesh,2013,"Students enrolled in secondary education (thousands)",13314.077,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
50,Bangladesh,2013,"Gross enrollment ratio - Secondary (male)",55.948,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
50,Bangladesh,2013,"Gross enrollment ratio - Secondary (female)",60.5773,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
50,Bangladesh,2014,"Students enrolled in tertiary education (thousands)",2068.355,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
50,Bangladesh,2014,"Gross enrollment ratio - Tertiary (male)",15.4349,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
50,Bangladesh,2014,"Gross enrollment ratio - Tertiary (female)",11.3822,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
50,Bangladesh,2015,"Students enrolled in secondary education (thousands)",14566.771,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
50,Bangladesh,2015,"Gross enrollment ratio - Secondary (male)",59.6583,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
50,Bangladesh,2015,"Gross enrollment ratio - Secondary (female)",67.3466,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
50,Bangladesh,2017,"Students enrolled in primary education (thousands)",17251.35,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
50,Bangladesh,2017,"Gross enrollement ratio - Primary (male)",107.2925,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
