T07,"Enrolment in primary, secondary and tertiary education levels",,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
15,"Northern Africa",2015,"Students enrolled in tertiary education (thousands)",6352.5287,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
15,"Northern Africa",2015,"Gross enrollment ratio - Tertiary (male)",30.1075,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
15,"Northern Africa",2015,"Gross enrollment ratio - Tertiary (female)",33.1579,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
15,"Northern Africa",2017,"Students enrolled in primary education (thousands)",27431.264,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
15,"Northern Africa",2017,"Gross enrollement ratio - Primary (male)",102.2067,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
15,"Northern Africa",2017,"Gross enrollment ratio - Primary (female)",99.2324,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
15,"Northern Africa",2017,"Students enrolled in secondary education (thousands)",19606.9018,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
15,"Northern Africa",2017,"Gross enrollment ratio - Secondary (male)",80.5247,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
15,"Northern Africa",2017,"Gross enrollment ratio - Secondary (female)",79.8033,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
15,"Northern Africa",2017,"Students enrolled in tertiary education (thousands)",6620.9032,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
15,"Northern Africa",2017,"Gross enrollment ratio - Tertiary (male)",31.6607,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
15,"Northern Africa",2017,"Gross enrollment ratio - Tertiary (female)",35.9247,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
