"Indicator Name"
"Adjusted net national income (annual % growth)"
"Adjusted net national income (current US$)"
"Adjusted net national income per capita (current US$)"
"Exports of goods and services (% of GDP)"
"Exports of goods and services (annual % growth)"
"Exports of goods and services (current US$)"
"External balance on goods and services (% of GDP)"
"External balance on goods and services (current US$)"
"Final consumption expenditure (% of GDP)"
"GDP (current US$)"
"GDP growth (annual %)"
"GDP per capita (current US$)"
"GDP per capita growth (annual %)"
"GNI (current US$)"
"GNI growth (annual %)"
"Gross capital formation (% of GDP)"
"Gross domestic income (constant LCU)"
"Gross national expenditure (% of GDP)"
"Households and NPISHs final consumption expenditure (% of GDP)"
"Imports of goods and services (% of GDP)"
"Imports of goods and services (current US$)"
"Inflation, GDP deflator (annual %)"
"Manufacturing, value added (% of GDP)"
"Manufacturing, value added (current US$)"
"Services, value added (% of GDP)"
"Services, value added (current US$)"
"Total natural resources rents (% of GDP)"
"Trade (% of GDP)"

